Year,Month,ppt (mm/month)
2004,1,103.4
2004,2,35.4
2004,3,51.6
2004,4,74.4
2004,5,38.6
2004,6,23.8
2004,7,46
2004,8,75.2
2004,9,52.2
2004,10,154.2
2004,11,27.8
2004,12,72.8
2005,1,55.2
2005,2,16
2005,3,48.2
2005,4,54.8
2005,5,35.2
2005,6,57.8
2005,7,53.8
2005,8,47.2
2005,9,31.4
2005,10,112.4
2005,11,71.6
2005,12,71.6
2006,1,20
2006,2,59.6
2006,3,64.5
2006,4,27.8
2006,5,96.7
2006,6,15.6
2006,7,55.5
2006,8,16.2
2006,9,43.6
2006,10,129
2006,11,126.4
2006,12,117
2007,1,80.8
2007,2,112.4
2007,3,69.2
2007,4,4.8
2007,5,103.4
2007,6,97.4
2007,7,118.6
2007,8,44
2007,9,28.4
2007,10,33.4
2007,11,108.4
2007,12,86.9
2008,1,114.8
2008,2,38.6
2008,3,95.6
2008,4,74.6
2008,5,82.6
2008,6,40
2008,7,72.6
2008,8,77.8
2008,9,93.2
2008,10,79.8
2008,11,83.4
2008,12,45
2009,1,96.6
2009,2,88.6
2009,3,44
2009,4,50
2009,5,26.2
2009,6,61
2009,7,75
2009,8,28.6
2009,9,40.6
2009,10,79.4
2009,11,163.2
2009,12,147.2
2010,1,60
2010,2,76.4
2010,3,72
2010,4,34.4
2010,5,15.8
2010,6,28.6
2010,7,34
2010,8,94.8
2010,9,58.2
2010,10,65.2
2010,11,107.4
2010,12,60.4
2011,1,95.6
2011,2,75.8
2011,3,19
2011,4,6.8
2011,5,25
2011,6,84.2
2011,7,41.2
2011,8,133.6
2011,9,60.6
2011,10,49.2
2011,11,46.4
2011,12,93
